index, gene name
26,ENSG00000002919
98,ENSG00000005889
120,ENSG00000006534
127,ENSG00000006652
135,ENSG00000006756
175,ENSG00000008294
187,ENSG00000008517
243,ENSG00000011198
244,ENSG00000011201
253,ENSG00000011422
272,ENSG00000012232
275,ENSG00000012817
297,ENSG00000013725
338,ENSG00000019991
368,ENSG00000023445
440,ENSG00000033327
444,ENSG00000034053
456,ENSG00000035664
483,ENSG00000038427
488,ENSG00000039319
507,ENSG00000042088
565,ENSG00000048740
566,ENSG00000048828
610,ENSG00000051620
666,ENSG00000056558
677,ENSG00000057704
697,ENSG00000059377
699,ENSG00000059573
736,ENSG00000062524
740,ENSG00000062716
747,ENSG00000063177
766,ENSG00000064225
785,ENSG00000064763
825,ENSG00000065675
837,ENSG00000066027
871,ENSG00000067048
895,ENSG00000067646
904,ENSG00000067992
929,ENSG00000068796
930,ENSG00000068831
956,ENSG00000069966
957,ENSG00000069974
962,ENSG00000070061
980,ENSG00000070501
985,ENSG00000070614
1005,ENSG00000071082
1046,ENSG00000072501
1092,ENSG00000073849
1094,ENSG00000073910
1182,ENSG00000076513
1186,ENSG00000076641
1189,ENSG00000076685
1204,ENSG00000077157
1255,ENSG00000078596
1281,ENSG00000079335
1312,ENSG00000080546
1320,ENSG00000080815
1322,ENSG00000080822
1334,ENSG00000081052
1335,ENSG00000081059
1373,ENSG00000082512
1394,ENSG00000083454
1411,ENSG00000083845
1420,ENSG00000084110
1423,ENSG00000084234
1441,ENSG00000085265
1493,ENSG00000086712
1520,ENSG00000087269
1534,ENSG00000087589
1568,ENSG00000088833
1601,ENSG00000089220
1610,ENSG00000089472
1686,ENSG00000091409
1690,ENSG00000091490
1719,ENSG00000092200
1773,ENSG00000095383
1789,ENSG00000096006
1797,ENSG00000096384
1805,ENSG00000096968
1815,ENSG00000099204
1839,ENSG00000099725
1909,ENSG00000100100
1966,ENSG00000100316
1982,ENSG00000100351
2023,ENSG00000100473
2027,ENSG00000100485
2112,ENSG00000100985
2235,ENSG00000101846
2260,ENSG00000102010
2291,ENSG00000102225
2295,ENSG00000102245
2483,ENSG00000104093
2511,ENSG00000104343
2547,ENSG00000104689
2633,ENSG00000105202
2660,ENSG00000105352
2668,ENSG00000105372
2695,ENSG00000105501
2798,ENSG00000106066
2887,ENSG00000106780
2890,ENSG00000106799
2893,ENSG00000106829
2924,ENSG00000107290
2939,ENSG00000107551
2953,ENSG00000107736
2955,ENSG00000107742
2963,ENSG00000107815
3008,ENSG00000108298
3011,ENSG00000108312
3093,ENSG00000108932
3102,ENSG00000109046
3136,ENSG00000109452
3139,ENSG00000109475
3158,ENSG00000109743
3188,ENSG00000110031
3200,ENSG00000110077
3231,ENSG00000110448
3274,ENSG00000110931
3276,ENSG00000110944
3282,ENSG00000111052
3284,ENSG00000111058
3328,ENSG00000111371
3361,ENSG00000111678
3368,ENSG00000111716
3435,ENSG00000112182
3467,ENSG00000112365
3477,ENSG00000112486
3481,ENSG00000112531
3529,ENSG00000113013
3546,ENSG00000113263
3556,ENSG00000113319
3563,ENSG00000113369
3594,ENSG00000113648
3642,ENSG00000114316
3647,ENSG00000114374
3683,ENSG00000114738
3690,ENSG00000114770
3760,ENSG00000115306
3809,ENSG00000115652
3814,ENSG00000115687
3830,ENSG00000115828
3862,ENSG00000116106
3864,ENSG00000116120
3930,ENSG00000116701
3936,ENSG00000116741
3949,ENSG00000116815
3969,ENSG00000116984
3980,ENSG00000117090
4003,ENSG00000117318
4005,ENSG00000117335
4040,ENSG00000117597
4042,ENSG00000117602
4075,ENSG00000118113
4106,ENSG00000118495
4138,ENSG00000118900
4139,ENSG00000118922
4142,ENSG00000118960
4149,ENSG00000119013
4245,ENSG00000119900
4271,ENSG00000120129
4308,ENSG00000120594
4343,ENSG00000120868
4355,ENSG00000120942
4394,ENSG00000121552
4410,ENSG00000121743
4455,ENSG00000122224
4556,ENSG00000123349
4587,ENSG00000123636
4589,ENSG00000123684
4598,ENSG00000123836
4633,ENSG00000124181
4669,ENSG00000124374
4706,ENSG00000124614
4723,ENSG00000124772
4760,ENSG00000125304
4765,ENSG00000125354
4809,ENSG00000125691
4827,ENSG00000125780
4829,ENSG00000125810
4855,ENSG00000125900
4876,ENSG00000126012
4901,ENSG00000126353
4942,ENSG00000126858
4962,ENSG00000127152
4963,ENSG00000127184
4974,ENSG00000127334
5026,ENSG00000127947
5028,ENSG00000127951
5103,ENSG00000128739
5152,ENSG00000129295
5161,ENSG00000129450
5197,ENSG00000129824
5207,ENSG00000130021
5262,ENSG00000130449
5311,ENSG00000130741
5324,ENSG00000130787
5343,ENSG00000130956
5348,ENSG00000131002
5350,ENSG00000131016
5387,ENSG00000131355
5423,ENSG00000131634
5443,ENSG00000131797
5478,ENSG00000132155
5503,ENSG00000132334
5506,ENSG00000132357
5555,ENSG00000132623
5604,ENSG00000132965
5613,ENSG00000133048
5776,ENSG00000134419
5783,ENSG00000134463
5817,ENSG00000134755
5846,ENSG00000134905
5849,ENSG00000134954
